PRJNA_ID	run_accession	geo_accession	sample_accession	title	fastq_ftp
PRJNA273359	SRR1768968	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768968/SRR1768968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768968/SRR1768968_2.fastq.gz
PRJNA273359	SRR1768969	GSM1588915	SAMN03290954	M229R5-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768969/SRR1768969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768969/SRR1768969_2.fastq.gz
PRJNA273359	SRR1768970	GSM1588916	SAMN03290944	M229DDRpoly-PLXAZD	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768970/SRR1768970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768970/SRR1768970_2.fastq.gz
PRJNA273359	SRR1768971	GSM1588916	SAMN03290944	M229DDRpoly-PLXAZD	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768971/SRR1768971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768971/SRR1768971_2.fastq.gz
PRJNA273359	SRR1768972	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768972/SRR1768972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768972/SRR1768972_2.fastq.gz
PRJNA273359	SRR1768973	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768973/SRR1768973_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768973/SRR1768973_2.fastq.gz
PRJNA273359	SRR1768974	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768974/SRR1768974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768974/SRR1768974_2.fastq.gz
PRJNA273359	SRR1768975	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768975/SRR1768975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768975/SRR1768975_2.fastq.gz
PRJNA273359	SRR1768976	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768976/SRR1768976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768976/SRR1768976_2.fastq.gz
PRJNA273359	SRR1768977	GSM1588917	SAMN03290951	M238-DMSO2D	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768977/SRR1768977_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768977/SRR1768977_2.fastq.gz
PRJNA273359	SRR1768978	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768978/SRR1768978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768978/SRR1768978_2.fastq.gz
PRJNA273359	SRR1768979	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768979/SRR1768979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768979/SRR1768979_2.fastq.gz
PRJNA273359	SRR1768980	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768980/SRR1768980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/000/SRR1768980/SRR1768980_2.fastq.gz
PRJNA273359	SRR1768981	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768981/SRR1768981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/001/SRR1768981/SRR1768981_2.fastq.gz
PRJNA273359	SRR1768982	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768982/SRR1768982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/002/SRR1768982/SRR1768982_2.fastq.gz
PRJNA273359	SRR1768983	GSM1588918	SAMN03290932	M238R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768983/SRR1768983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/003/SRR1768983/SRR1768983_2.fastq.gz
PRJNA273359	SRR1768984	GSM1588919	SAMN03290948	SKMel28-DMSO	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768984/SRR1768984_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/004/SRR1768984/SRR1768984_2.fastq.gz
PRJNA273359	SRR1768985	GSM1588919	SAMN03290948	SKMel28-DMSO	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768985/SRR1768985_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/005/SRR1768985/SRR1768985_2.fastq.gz
PRJNA273359	SRR1768986	GSM1588920	SAMN03290936	SKMel28R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768986/SRR1768986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/006/SRR1768986/SRR1768986_2.fastq.gz
PRJNA273359	SRR1768987	GSM1588920	SAMN03290936	SKMel28R1-PLX	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768987/SRR1768987_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/007/SRR1768987/SRR1768987_2.fastq.gz
PRJNA273359	SRR1768988	GSM1588921	SAMN03290929	SKMel28DDR1-PLXAZD	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768988/SRR1768988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/008/SRR1768988/SRR1768988_2.fastq.gz
PRJNA273359	SRR1768989	GSM1588921	SAMN03290929	SKMel28DDR1-PLXAZD	ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768989/SRR1768989_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR176/009/SRR1768989/SRR1768989_2.fastq.gz
